DateTime,AddedIPs,RemovedIPs
1557470523,3,6
1557471723,3,23
1557472922,1,5
1557474122,2,9
1557474723,34,0
1557475923,4,2
1557476523,1,4
1557477723,2,7
1557478323,5,0
1557478923,1,0
1557479522,1,7
1557480122,1,0
1557480722,2,3
1557481323,20,0
1557481922,1,3
1557482523,1,0
1557483723,9,1
1557484923,6,6
1557486122,2,12
1557487323,4,2
1557487922,3,0
1557488523,2,2
1557489723,1,3
1557490922,1,0
1557491522,0,7
1557492123,1,0
1557493322,0,3
1557493922,1,8
1557494522,2,0
1557495122,2,4
1557495722,4,5
1557496323,1,0
1557496923,2,0
1557497524,23,3
1557498122,1,0
1557499325,3,8
1557499923,7,0
1557500524,3,0
1557501123,31,0
1557501723,3,0
1557502922,11,8
1557504124,1,4
1557505323,4,3
1557506523,1,1
1557507723,1,7
1557508922,4,8
1557509522,13,0
1557510123,2,3
1557511323,5,5
1557512523,0,12
1557513723,4,2
1557514322,3,0
1557514923,29,4
1557515524,2,0
1557516123,3,0
1557517323,1,3
1557517923,24,7
1557518523,1,5
1557520322,2,13
1557520922,7,13
1557521523,7,10
1557522123,2,0
1557523323,2,38
1557524522,2,42
1557525723,1,5
1557528723,24,19
1557529324,0,3
1557529923,15,2
1557530522,3,2
1557531722,1,1
1557532923,1,3
1557534123,4,3
1557535324,4,10
1557536523,1,0
1557537123,1,3
1557537722,2,8
1557539523,10,9
1557540123,0,51
1557541322,4,0
1557541923,28,56
1557542523,23,46
1557543723,2,6
1557544323,19,0
1557544922,1,6
1557545522,3,0
1557546122,1,0
1557547322,1,4
1557547923,3,4
1557548523,8,0
1557549723,1,6
1557550923,0,6
1557552123,2,7
1557552722,17,0
1557553322,1,6
1557553923,1,0
1557554523,4,5
1557555723,2,11
1557556922,3,2
1557557522,5,6
1557558123,43,2
1557559324,4,2
1557560523,5,64
1557561723,0,47
1557562323,3,53
1557562923,28,0
1557563522,1,4
1557564123,3,0
1557564722,8,4
1557565323,3,2
1557566522,9,4
1557567123,0,2
1557568925,1,7
1557569522,7,0
1557570122,3,8
1557572523,5,2
1557573722,8,8
1557574322,0,6
1557574923,0,9
1557575523,2,0
1557576124,2,2
1557577322,0,4
1557577923,5,2
1557578523,1,0
1557579722,3,8
1557580923,8,0
1557581523,0,3
1557582123,2,11
1557583323,1,1
1557585723,24,2
1557586923,6,9
1557587523,4,0
1557588122,2,0
1557588723,2,0
1557589322,2,58
1557590523,2,5
1557591123,0,6
1557591723,1,0
1557592323,3,5
1557592923,2,0
1557593522,5,50
1557594122,1,3
1557595322,1,0
1557596523,1,3
1557597124,3,0
1557597722,7,4
1557598923,5,0
1557599522,2,4
1557600122,1,5
1557600723,1,0
1557601322,2,0
1557601923,0,4
1557602523,1,9
1557603123,3,5
1557604322,1,6
1557604923,2,0
1557605523,2,3
1557606122,3,0
1557607323,3,86
1557608523,0,24
1557609124,2,0
1557609722,2,1
1557610923,6,8
1557612124,1,1
1557612723,1,6
1557613323,26,0
1557614523,2,6
1557615122,1,0
1557615722,2,8
1557616923,1,5
1557618123,0,12
1557619325,0,3
1557619924,4,2
1557620523,1,1
1557621722,2,8
1557622923,4,4
1557623522,0,34
1557624122,3,58
1557625322,3,3
1557626522,39,67
1557627722,1,0
1557628923,1,5
1557630122,2,0
1557631322,1,18
1557632522,0,3
1557633723,2,2
1557634323,1,0
1557634923,1,0
1557635522,0,4
1557636123,0,2
1557637323,0,1
1557638523,0,9
1557639722,1,0
1557640923,3,8
1557642124,5,0
1557643323,1,3
1557644523,1,6
1557645723,1,0
1557646322,1,8
1557646922,2,5
1557648123,6,2
1557648723,0,3
1557649323,0,4
1557650523,2,8
1557651122,1,0
1557652923,1,10
1557654122,35,0
1557655323,9,8
1557656523,1,5
1557657723,2,6
1557658922,4,4
1557660123,0,1
1557661323,3,0
1557662523,0,2
1557663122,1,0
1557663723,1,0
1557664923,4,4
1557665523,0,1
1557667322,2,6
1557668522,5,3
1557669723,0,4
1557670923,32,2
1557671523,23,1
1557672122,30,0
1557672722,21,2
1557673323,17,4
1557673922,33,2
1557674522,32,1
1557675722,8,12
1557676924,2,0
1557678122,2,8
1557679322,2,3
1557680523,1,1
1557681723,4,1
1557682323,1,2
1557682924,1,0
1557684723,0,3
1557685323,4,1
1557686522,3,0
1557687722,0,21
1557688323,1,0
1557688922,0,2
1557689523,3,0
1557690123,2,7
1557691323,2,5
1557691922,3,0
1557692523,2,1
1557693723,1,0
1557694922,0,5
1557695523,1,0
1557696122,0,4
1557696722,4,0
1557697922,1,2
1557698525,1,0
1557700922,3,7
1557701522,14,0
1557703322,1,8
1557704522,3,3
1557706922,0,5
1557708122,2,18
1557708722,0,5
1557709922,0,2
1557710522,0,1
1557711123,0,4
1557711722,1,4
1557712923,1,6
1557715322,1,1
1557715923,1,7
1557716524,2,1
1557718923,4,9
1557721323,2,2
1557722523,9,0
1557723123,1,27
1557723723,0,3
1557724923,5,0
1557725523,3,4
1557726123,2,5
1557727322,33,0
1557728522,2,6
1557729123,3,0
1557729722,6,0
1557730322,3,4
1557730924,3,3
1557731523,2,6
1557732123,1,0
1557732723,0,3
1557733322,5,7
1557734523,3,0
1557735123,3,1
1557735723,1,1
1557736322,3,0
1557736923,2,0
1557737522,1,0
1557738123,0,1
1557739323,0,1
1557739923,3,3
1557740522,1,5
1557741723,3,1
1557742923,2,10
1557744122,26,4
1557745322,6,0
1557745923,1,4
1557746522,4,0
1557747123,1,4
1557747723,2,1
1557748323,1,0
1557748922,3,1
1557750123,3,7
1557751322,2,2
1557752523,0,3
1557753723,2,3
1557754322,2,0
1557754922,3,3
1557756123,1,5
1557756722,6,0
1557757322,2,4
1557757923,30,0
1557759123,1,0
1557759723,0,12
1557760323,3,0
1557760923,4,0
1557762122,0,6
1557762723,15,0
1557763322,1,0
1557764522,4,13
1557765122,3,0
1557765723,1,5
1557766923,0,2
1557767523,2,0
1557768124,5,0
1557768723,1,3
1557769323,0,3
1557770523,3,5
1557771123,3,9
1557771722,0,3
1557772323,32,8
1557772922,4,0
1557774123,1,5
1557774723,3,0
1557775322,3,0
1557776523,1,2
1557777122,4,0
1557777723,1,3
1557778323,2,0
1557778922,4,1
1557779522,1,0
1557780122,2,0
1557780722,3,1
1557781323,1,1
1557781922,3,0
1557782523,1,1
1557783724,3,4
1557784923,1,1
1557785522,4,30
1557786123,2,0
1557786722,2,1
1557787323,2,3
1557788523,4,0
1557789123,2,5
1557789723,3,2
1557790922,5,3
1557792124,0,1
1557792723,1,2
1557793323,1,1
1557794523,2,0
1557795123,8,1
1557795723,1,1
1557796923,1,3
1557798122,2,1
1557798722,1,0
1557799922,1,5
1557800524,1,0
1557801723,0,13
1557802923,2,5
1557803523,1,0
1557804123,2,1
1557805322,1,5
1557806524,1,7
1557807722,2,5
1557808322,3,0
1557808923,1,0
1557810122,1,4
1557811322,3,0
1557812522,0,9
1557813723,2,3
1557814922,10,10
1557816123,1,4
1557816723,0,45
1557817323,2,8
1557818523,0,3
1557819123,2,0
1557819723,4,1
1557820923,2,4
1557821523,2,1
1557822123,1,0
1557822722,10,0
1557823323,0,4
1557823923,2,0
1557824524,0,2
1557825123,1,0
1557826322,2,0
1557826922,4,1
1557829322,4,1
1557830522,1,5
1557831123,3,0
1557831722,4,0
1557832923,2,8
1557834123,9,9
1557835323,1,2
1557836522,3,7
1557837723,4,0
1557838923,1,5
1557840123,1,6
1557840723,3,1
1557841323,3,5
1557841922,3,0
1557842523,0,3
1557843723,2,4
1557844923,32,9
1557846123,27,4
1557847323,2,5
1557847923,5,3
1557848523,9,3
1557849123,3,6
1557849722,2,0
1557850923,7,8
1557852123,5,5
1557853324,1,4
1557854523,4,3
1557855723,19,5
1557856323,4,0
1557856923,8,0
1557858122,2,5
1557859323,2,0
1557860523,8,21
1557861122,1,0
1557861722,0,2
1557862323,5,0
1557862922,3,0
1557863522,24,0
1557864123,3,1
1557865324,1,0
1557866522,3,51
1557867122,3,3
1557867722,3,8
1557868923,1,5
1557869523,2,12
1557870122,4,0
1557871322,26,6
1557871923,4,0
1557872522,0,6
1557873722,3,0
1557874922,1,1
1557875523,2,34
1557876122,1,4
1557876723,0,2
1557877322,4,0
1557877922,1,0
1557878524,0,1
1557880923,3,5
1557882123,0,1
1557882723,0,3
1557883922,1,0
1557884522,3,2
1557885122,1,3
1557885723,4,0
1557886922,4,8
1557887523,4,0
1557888123,0,2
1557888723,2,0
1557889322,2,2
1557889925,2,0
1557890522,1,7
1557891722,1,3
1557892322,12,0
1557892923,7,2
1557894122,3,0
1557894723,7,0
1557895323,2,26
1557895923,5,0
1557896523,2,0
1557897723,2,3
1557898323,1,10
1557898922,3,0
1557899523,5,0
1557900123,2,0
1557900723,6,7
1557901923,2,2
1557902523,2,6
1557903723,2,0
1557904922,2,10
1557905523,2,0
1557907322,0,6
1557907923,1,0
1557908523,1,0
1557909723,2,11
1557910924,28,5
